Metric;Module;FilePath;BLOC;FunctionCnt;BLOCxFunctionCnt
GM;{TOP}/domain/usecase;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/SetPs4ControllerLightColorUseCase.kt;10;1;10
GM;{TOP}/infra/repository/roomdb/core;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;26;4;104
GM;{TOP}/infra/repository;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;530;30;15900
GM;{TOP}/domain/usecase;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/UpsertControllerProfileUseCase.kt;10;1;10
GM;{TOP}/data/state;app/src/main/kotlin/com/android/synclab/glimpse/data/state/MonitoringStateStore.kt;12;1;12
GM;{TOP}/infra/overlay;app/src/main/kotlin/com/android/synclab/glimpse/infra/overlay/OverlayWindowController.kt;83;5;415
GM;{TOP}/data/model;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;10;19;190
GM;{TOP}/domain/usecase;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetControllerProfileUseCase.kt;10;1;10
GM;{TOP}/presentation/viewmodel;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;173;9;1557
GM;{TOP}/infra/input;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;27;4;108
GM;{TOP}/base/contracts;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/MonitoringStateProvider.kt;7;0;7
GM;{TOP}/data/model;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;16;19;304
GM;{TOP}/domain/usecase;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/DeleteControllerProfileUseCase.kt;9;1;9
GM;{TOP}/presentation;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;873;39;34047
GM;{TOP}/presentation/view;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;333;13;4329
GM;{TOP}/presentation/view;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;98;7;686
GM;{TOP}/presentation/view;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;175;9;1575
GM;{TOP}/utils;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;30;8;240
GM;{TOP}/presentation/view;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;246;15;3690
GM;{TOP}/base/contracts;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;10;4;40
GM;{TOP}/presentation/model;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;18;23;414
GM;{TOP}/presentation/view;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;145;11;1595
GM;{TOP}/base/contracts;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;7;3;21
GM;{TOP}/infra/repository/roomdb;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/RoomControllerProfileRepository.kt;56;7;392
GM;{TOP}/domain/usecase;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetPrimaryGamepadBatteryUseCase.kt;10;1;10
GM;{TOP}/presentation/model;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;27;47;1269
GM;{TOP}/presentation/view;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;148;9;1332
GM;{TOP}/data/model;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;6;11;66
GM;{TOP}/domain/usecase;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetConnectedPs4ControllersUseCase.kt;10;1;10
GM;{TOP}/presentation;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;220;9;1980
GM;{TOP}/di;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;81;13;1053
GM;{TOP}/data/model;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;8;4;32
GM;{TOP}/utils;app/src/main/kotlin/com/android/synclab/glimpse/utils/InputDeviceLogUtils.kt;16;2;32
GM;{TOP}/domain/usecase;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/ClosePs4ControllerLightSessionUseCase.kt;9;1;9
GM;{TOP}/infra/repository/roomdb/core;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileDao.kt;14;3;42
GM;{TOP}/data/model;app/src/main/kotlin/com/android/synclab/glimpse/data/model/GamepadBatterySnapshot.kt;5;9;45
GM;{TOP}/infra/notification;app/src/main/kotlin/com/android/synclab/glimpse/infra/notification/MonitoringNotificationController.kt;86;4;344
GM;{TOP}/infra/repository/roomdb/core;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;14;11;154
GM;{TOP}/presentation/model;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;20;27;540
