Metric;FromModule;ToModule;RelationCount;Mark;Key;Violation
MCD;app/src/main/kotlin/com/android/synclab/glimpse/domain;app/src/main/kotlin/com/android/synclab/glimpse/base;7;N;1;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;21;N;2;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation;app/src/main/kotlin/com/android/synclab/glimpse/utils;130;N;3;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation;app/src/main/kotlin/com/android/synclab/glimpse/domain;3;N;4;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation;app/src/main/kotlin/com/android/synclab/glimpse/base;6;N;5;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation;app/src/main/kotlin/com/android/synclab/glimpse/data;73;N;6;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation;app/src/main/kotlin/com/android/synclab/glimpse/infra;14;N;7;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/infra;app/src/main/kotlin/com/android/synclab/glimpse/utils;86;N;8;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation/{ROOT};app/src/main/kotlin/com/android/synclab/glimpse/presentation/view;15;N;9;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation;app/src/main/kotlin/com/android/synclab/glimpse/di;14;N;10;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation/{ROOT};app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;30;N;11;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation/{ROOT};app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel;6;N;12;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/di;app/src/main/kotlin/com/android/synclab/glimpse/infra;8;N;13;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/di;app/src/main/kotlin/com/android/synclab/glimpse/domain;7;N;14;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/di;app/src/main/kotlin/com/android/synclab/glimpse/data;1;N;15;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/di;app/src/main/kotlin/com/android/synclab/glimpse/utils;2;N;16;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;10;N;17;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/infra;app/src/main/kotlin/com/android/synclab/glimpse/data;33;N;18;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository;app/src/main/kotlin/com/android/synclab/glimpse/infra/input;3;N;19;N
MCD;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/{ROOT};app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core;9;N;20;N
