Module;MCD;DEP;GM
{TOP};Y;Y;
{TOP}/base;Y;Y;
{TOP}/base/contracts;Y;;Y
{TOP}/data;Y;Y;
{TOP}/data/model;Y;;Y
{TOP}/data/state;Y;;Y
{TOP}/di;Y;;Y
{TOP}/domain;Y;Y;
{TOP}/domain/usecase;Y;;Y
{TOP}/infra;Y;Y;
{TOP}/infra/input;Y;;Y
{TOP}/infra/notification;Y;;Y
{TOP}/infra/overlay;Y;;Y
{TOP}/infra/repository;Y;Y;Y
{TOP}/infra/repository/roomdb;Y;Y;Y
{TOP}/infra/repository/roomdb/core;Y;;Y
{TOP}/presentation;Y;Y;Y
{TOP}/presentation/model;Y;;Y
{TOP}/presentation/view;Y;;Y
{TOP}/presentation/viewmodel;Y;;Y
{TOP}/utils;Y;;Y
